Nombre,Pais,Numero,Posicion,ValorCanje
Vladimir Kinney,26,7,2,58
Odysseus Rice,29,8,0,9
Christen Carter,17,14,2,13
Basil Blake,28,17,2,23
Madonna Wells,17,8,2,25
Emerson Garner,24,3,0,22
Hadassah England,5,2,1,29
Carissa Rivers,31,6,2,32
Doris Justice,11,18,2,10
Seth Tanner,7,14,1,50
Kelly Buckner,1,12,0,59
Galvin Pruitt,5,3,2,7
Julian Norton,15,14,1,31
Yvonne Roth,19,18,3,23
McKenzie Morton,13,7,1,39
Jordan Gilliam,9,2,2,33
Sylvia Leach,4,17,0,7
Xena Dominguez,24,5,2,27
Nash Stevens,32,7,1,16
Raymond Hurley,25,8,2,45
Susan Albert,3,2,2,32
Davis Salinas,2,16,1,24
Quamar Bender,6,3,2,31
Celeste Hill,9,18,1,4
Bradley Cantrell,12,5,3,39
Lucian Harrison,25,9,3,18
Isaac Cotton,5,19,2,23
Darryl Knox,9,11,1,9
Dieter Beasley,5,6,2,17
Hope Hogan,9,18,2,26
Octavius Waller,29,16,1,1
Freya Lopez,19,16,0,6
Xena Mcknight,17,4,2,44
Jackson Mathews,16,7,0,1
Destiny Lott,7,18,2,21
Wendy Vega,13,11,1,41
Madeson Pacheco,19,14,2,23
Clio Eaton,9,8,0,19
Hanae Rutledge,27,9,1,21
Alden Wilkins,13,17,0,26
Darrel Carrillo,3,15,2,4
Dorian French,19,9,2,51
Hiram Gibson,22,15,1,18
Abdul Benton,1,16,0,46
Ruby Berry,29,2,1,14
Sharon Hoffman,23,5,1,11
Tyler Durham,2,4,3,4
Wendy Horton,26,18,2,38
Alvin Jennings,25,11,0,14
Sawyer Carroll,23,12,2,23
Janna Barber,30,15,1,23
Kylan Mason,22,7,1,56
Shay Eaton,9,16,1,52
Athena Banks,19,19,2,12
Malachi Henderson,29,3,3,48
Summer Callahan,17,11,1,8
Buffy Britt,8,17,3,39
Venus Allison,25,8,3,44
Clark Kidd,28,18,2,43
Hasad Townsend,5,1,2,37
Allistair Ramsey,11,3,3,13
Anika Newman,11,15,2,11
Darryl Boyle,28,3,1,57
Dorian Meyer,17,10,3,29
Connor Peters,14,18,3,39
Howard Bond,4,11,1,19
Ila Delacruz,5,3,1,5
Kessie Mayer,11,2,1,50
Isadora Willis,31,14,0,35
Victoria Shannon,17,17,2,49
Tashya Larsen,13,6,2,49
Anne Kinney,13,17,3,26
Brendan Decker,7,14,1,18
Maile Mercer,19,3,1,23
Orson Mayo,2,6,0,25
Leo Wade,10,8,3,33
Zia Fowler,30,16,3,54
Fiona Bentley,16,2,1,20
Charles Scott,22,7,3,26
Dale Rosa,15,5,1,9
Logan Allen,25,9,1,12
Cheryl Terry,1,12,1,53
Kelsey Leonard,23,7,1,48
Neville Delacruz,6,6,1,3
Jason Durham,20,2,0,47
Chanda Briggs,18,14,2,20
Plato Martinez,8,15,2,8
Hilel Boyer,25,13,1,18
Gemma Townsend,8,14,0,43
Jennifer Landry,13,10,3,4
Pascale Hopkins,27,10,1,1
Kiara Benjamin,22,14,2,34
Erin Sampson,1,15,1,9
Gray Tyson,20,18,0,25
Travis Hartman,10,16,1,9
Nehru Camacho,13,16,2,47
Riley Rose,4,14,2,31
Macy Whitehead,4,11,0,33
Conan Daugherty,26,7,2,32
Noah Raymond,6,17,1,7
Ferdinand Huber,11,10,2,5
Barbara Maxwell,30,6,2,45
Kamal Dominguez,1,15,0,2
Anthony Harvey,1,14,2,43
Kylee Riggs,27,10,0,59
Noelani Suarez,6,11,0,27
Alec Hess,20,17,1,58
Yuli Duncan,29,13,2,49
Tyrone Cook,22,17,2,47
Amela Bond,17,9,2,26
Gisela Murray,12,10,2,41
Althea David,25,14,2,40
Richard Torres,30,17,1,42
Brynn Gutierrez,9,14,0,21
Violet Maddox,4,13,3,45
Martin Davenport,3,14,1,55
Drew Valdez,8,8,2,15
Tyrone Emerson,22,13,0,39
Gareth Spence,28,11,1,16
Tamekah Fleming,5,2,1,9
Timothy Ramos,28,3,0,48
Stacy O'connor,12,4,2,40
Chelsea Griffin,10,7,0,23
Sierra Vazquez,27,11,3,50
Robin Mejia,6,11,1,43
Candace Gentry,31,18,1,21
Ashely Ray,30,2,2,39
Brent Frederick,15,19,2,37
Buckminster Mclean,16,7,0,5
Zachery Randolph,30,4,2,55
Ivana Whitaker,1,12,2,56
Bruno Wood,6,7,0,19
Chaney Brock,29,3,0,55
Idona Rutledge,3,5,2,21
Ivana Estes,20,14,1,39
Dana Lynn,6,17,3,40
Fay Hatfield,2,15,2,30
Marshall Santana,6,11,1,19
Kenneth Vasquez,22,2,3,42
Marsden Pope,23,16,1,26
Wanda Bender,7,15,3,16
Benedict Bird,17,9,2,59
Timon Battle,13,19,1,30
Nigel Rodgers,9,10,2,54
Iris Robinson,7,17,1,9
Darius Stevens,12,5,2,36
Daryl Larsen,6,4,2,14
Lynn Caldwell,10,2,2,18
Zenia Camacho,8,17,1,58
Porter Oliver,18,18,2,4
